Symbol,Option name,Strike,Price,BaroneAdiseWhaely,BjerksundStensland,FDAmericanEngine,jr,crr,eqp,trigeorgis,tian,lr
MMM,MMM161021P00180000,180,14.55,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94,82.94
MMM,MMM170120P00070000,70,0.2,0,0,0,0,0,0,0,0,0
MMM,MMM170120P00075000,75,0.21,0,0,0,0,0,0,0,0,0
MMM,MMM170120P00080000,80,0.29,0,0,0,0,0,0,0,0,0
MMM,MMM170120P00085000,85,0.35,0,0,0,0,0,0,0,0,0
MMM,MMM170120P00090000,90,0.4,0,0,0,0,0,0,0,0,0
MMM,MMM170120P00095000,95,0.68,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124
MMM,MMM170120P00100000,100,0.57,3.006,3.006,3.009,3.009,3.009,3.009,3.009,3.009,3.009
MMM,MMM170120P00105000,105,0.64,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98
MMM,MMM170120P00110000,110,0.85,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98
MMM,MMM170120P00115000,115,1.02,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98,17.98
MMM,MMM170120P00120000,120,1.28,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98
MMM,MMM170120P00125000,125,1.52,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98
MMM,MMM170120P00130000,130,1.79,32.97,32.97,32.97,32.97,32.97,32.97,32.97,32.97,32.97
MMM,MMM170120P00135000,135,2.16,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96,37.96
MMM,MMM170120P00140000,140,2.64,42.96,42.96,42.96,42.96,42.96,42.96,42.96,42.96,42.96
MMM,MMM170120P00145000,145,3.25,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96,47.96
MMM,MMM170120P00150000,150,4.15,52.96,52.96,52.96,52.96,52.96,52.96,52.96,52.96,52.96
MMM,MMM170120P00155000,155,5.35,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96
MMM,MMM170120P00160000,160,6.7,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96,62.96
MMM,MMM170120P00165000,165,8.49,67.96,67.96,67.96,67.96,67.96,67.96,67.96,67.96,67.96
MMM,MMM170120P00170000,170,10.75,72.96,72.96,72.96,72.96,72.96,72.96,72.96,72.96,72.96
MMM,MMM170120P00175000,175,13.66,77.96,77.96,77.96,77.96,77.96,77.96,77.96,77.96,77.96
MMM,MMM170120P00180000,180,16.3,82.96,82.96,82.96,82.96,82.96,82.96,82.96,82.96,82.96
MMM,MMM170120P00185000,185,22.05,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96
MMM,MMM170120P00190000,190,23.5,92.95,92.95,92.95,92.95,92.95,92.95,92.95,92.95,92.95
