Symbol,Tag,Strike,Real,Barone-Adesi Whaley,Bjerksund-Stensland,FDAmerican,Cox-Ross-Rubenstein,Jarrow-Rudd,Equal Probabilities,Trigeorgis,Tian,Leisen-Reimer
PFE,PFE160916C00019000,19,14.63,15.699,15.699,15.699,15.699,15.699,15.699,15.699,15.699,15.699
PFE,PFE160916C00020000,20,13.64,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
PFE,PFE160916C00022000,22,8.1,12.702,12.702,12.702,12.702,12.702,12.702,12.702,12.702,12.702
PFE,PFE160916C00023000,23,10.45,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703
PFE,PFE160916C00024000,24,9.46,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704,10.704
PFE,PFE160916C00025000,25,8.64,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705
PFE,PFE160916C00026000,26,7.63,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706
PFE,PFE160916C00027000,27,6.5,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707
PFE,PFE160916C00028000,28,6.4,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708
PFE,PFE160916C00029000,29,5.35,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE160916C00030000,30,4.85,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE160916C00031000,31,4.06,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE160916C00032000,32,3.24,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE160916C00033000,33,2.26,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE160916C00034000,34,1.67,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE160916C00035000,35,1.07,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00036000,36,0.6,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00037000,37,0.33,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00038000,38,0.17,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00039000,39,0.08,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00040000,40,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00041000,41,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00042000,42,0.03,0,0,0,0,0,0,0,0,0
PFE,PFE160916C00045000,45,0.04,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00020000,20,13.63,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
PFE,PFE161216C00022000,22,11.62,12.702,12.702,12.702,12.702,12.702,12.702,12.702,12.702,12.702
PFE,PFE161216C00023000,23,10.64,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703,11.703
PFE,PFE161216C00025000,25,9.7,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705,9.705
PFE,PFE161216C00026000,26,7.5,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706,8.706
PFE,PFE161216C00027000,27,5.8,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707,7.707
PFE,PFE161216C00028000,28,5.45,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708,6.708
PFE,PFE161216C00029000,29,4.69,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709,5.709
PFE,PFE161216C00030000,30,5.07,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71
PFE,PFE161216C00031000,31,4.15,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711
PFE,PFE161216C00032000,32,3.35,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712,2.712
PFE,PFE161216C00033000,33,2.72,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713,1.713
PFE,PFE161216C00034000,34,1.96,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
PFE,PFE161216C00035000,35,1.52,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00036000,36,1.07,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00037000,37,0.73,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00038000,38,0.47,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00039000,39,0.3,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00040000,40,0.2,0,0,0,0,0,0,0,0,0
PFE,PFE161216C00042000,42,0.05,0,0,0,0,0,0,0,0,0
PFE,PFE170120C00018000,18,15.7,16.698,16.698,16.698,16.698,16.698,16.698,16.698,16.698,16.698
PFE,PFE170120C00020000,20,14.33,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
